"REF_DATE","GEO","DGUID","Age","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Canada","2016A000011124","Total, age","Total, sex","Number","223","units ","0","v66461752","1.1.1","5073270","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Total, age","Total, sex","Number","223","units ","0","v66461812","2.1.1","84336","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Total, age","Males","Number","223","units ","0","v66461813","2.1.2","43455","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Total, age","Females","Number","223","units ","0","v66461814","2.1.3","40881","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","5 years","Total, sex","Number","223","units ","0","v66461821","2.4.1","5178","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","5 years","Males","Number","223","units ","0","v66461822","2.4.2","2613","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","5 years","Females","Number","223","units ","0","v66461823","2.4.3","2565","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","6 years","Total, sex","Number","223","units ","0","v66461824","2.5.1","5451","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","6 years","Males","Number","223","units ","0","v66461825","2.5.2","2835","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","6 years","Females","Number","223","units ","0","v66461826","2.5.3","2616","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","7 years","Total, sex","Number","223","units ","0","v66461827","2.6.1","5409","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","7 years","Males","Number","223","units ","0","v66461828","2.6.2","2745","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","7 years","Females","Number","223","units ","0","v66461829","2.6.3","2664","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","8 years","Total, sex","Number","223","units ","0","v66461830","2.7.1","5655","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","8 years","Males","Number","223","units ","0","v66461831","2.7.2","2955","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","8 years","Females","Number","223","units ","0","v66461832","2.7.3","2703","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","9 years","Total, sex","Number","223","units ","0","v66461833","2.8.1","5718","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","9 years","Males","Number","223","units ","0","v66461834","2.8.2","2913","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","9 years","Females","Number","223","units ","0","v66461835","2.8.3","2805","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","10 years","Total, sex","Number","223","units ","0","v66461836","2.9.1","6252","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","10 years","Males","Number","223","units ","0","v66461837","2.9.2","3255","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","10 years","Females","Number","223","units ","0","v66461838","2.9.3","2997","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","11 years","Total, sex","Number","223","units ","0","v66461839","2.10.1","6459","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","11 years","Males","Number","223","units ","0","v66461840","2.10.2","3330","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","11 years","Females","Number","223","units ","0","v66461841","2.10.3","3126","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","12 years","Total, sex","Number","223","units ","0","v66461842","2.11.1","6903","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","12 years","Males","Number","223","units ","0","v66461843","2.11.2","3528","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","12 years","Females","Number","223","units ","0","v66461844","2.11.3","3375","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","13 years","Total, sex","Number","223","units ","0","v66461845","2.12.1","7002","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","13 years","Males","Number","223","units ","0","v66461846","2.12.2","3573","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","13 years","Females","Number","223","units ","0","v66461847","2.12.3","3423","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","14 years","Total, sex","Number","223","units ","0","v66461848","2.13.1","6861","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","14 years","Males","Number","223","units ","0","v66461849","2.13.2","3585","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","14 years","Females","Number","223","units ","0","v66461850","2.13.3","3276","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","15 years","Total, sex","Number","223","units ","0","v66461851","2.14.1","7062","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","15 years","Males","Number","223","units ","0","v66461852","2.14.2","3507","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","15 years","Females","Number","223","units ","0","v66461853","2.14.3","3555","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","16 years","Total, sex","Number","223","units ","0","v66461854","2.15.1","7083","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","16 years","Males","Number","223","units ","0","v66461855","2.15.2","3591","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","16 years","Females","Number","223","units ","0","v66461856","2.15.3","3492","","","","0"
